sample_id	mags	lat	lon	microntology
SAMN07509961	True	39.16	-84.52	['host-associated', 'age group', 'adolescent', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMN07532659	True	39.16	-84.52	['host-associated', 'age group', 'adolescent', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMN07521886	True	42.38	-71.08	['host-associated', 'adult', 'age group', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMN07532794	True	39.16	-84.52	['host-associated', 'age group', 'adolescent', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMN07509628	True	42.38	-71.08	['host-associated', 'adult', 'age group', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMN07532875	True	42.38	-71.08	['host-associated', 'age group', 'adolescent', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMN07509547	True	39.16	-84.52	['host-associated', 'age group', 'adolescent', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMN07509709	True	42.38	-71.08	['host-associated', 'adult', 'age group', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMN07509862	True	42.38	-71.08	['host-associated', 'adult', 'age group', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMN07509943	True	39.16	-84.52	['host-associated', 'age group', 'adolescent', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMN07509781	True	39.16	-84.52	['host-associated', 'age group', 'adolescent', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMN07521787	True	34.07	-118.38	['host-associated', 'adult', 'age group', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
