sample_id	mags	lat	lon	microntology
SAMEA10740634	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741363	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740472	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741525	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741840	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741921	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740238	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741129	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740076	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740319	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741048	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740157	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10739579	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739975	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739894	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739777	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739939	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739858	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739696	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739759	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739597	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739678	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739993	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739795	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739957	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739876	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739588	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739669	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739984	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739786	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739948	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739867	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739768	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739849	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739687	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739966	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739885	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739733	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739571	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739814	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739652	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10740966	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741695	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741857	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741776	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740885	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741299	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740489	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10739931	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739850	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10741893	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741659	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740768	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741497	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740687	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740849	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741578	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
